,Ngày,Doanh thu Affilicate,Doanh thu cửa hàng,Đơn giá bình quân,Lượt bán,Doanh thu tài khoản tự vận hành
0,2024-08-10,-0.2512742495298798,-0.23529226410530463,2.165636107225093,-0.3014548201892805,-1.5916523894039
1,2024-08-11,-0.22316552068824946,-0.23269441942649696,2.1931645201885837,-0.0770614566879994,-1.3607534607588017
2,2024-08-12,-0.28406776651178184,-0.23465221541632303,0.4133927777229249,-0.03542145108982362,-1.2979848199620758
3,2024-08-13,-0.07325230019955445,-0.23588936498939952,2.019615829766579,0.5359719590629228,-0.9482738212374604
4,2024-08-14,-0.1575784867244454,-0.23633570482515698,1.6796997740434803,0.2676252563191229,-0.7644513731899062
5,2024-08-15,-0.07793708833982617,0.5005270715654264,1.659352686200902,3.3998790107596837,-0.03700766109928015
6,2024-08-16,-0.27469819023123837,-0.23603951826041045,-1.480083279157149,0.5752986310167555,0.28468162298393973
7,2024-08-17,-0.2044263681271626,-0.23513090729295633,-0.19462608251416594,0.6493253076357348,0.2880442287409072
8,2024-08-18,-0.4011874700185748,-0.2361865412092618,-1.782895821755543,-0.0007214464246770055,-1.229611836237071
9,2024-08-19,-0.181002427425804,-0.23615639975671515,-0.44477557422588293,0.7765586580746057,-0.5828706623136637
10,2024-08-20,-0.3824483174574879,-0.2362612547919395,-1.9684133873790646,0.11263190214813505,-0.9482738212374604
11,2024-08-21,-0.27469819023123837,-0.23594050972035352,0.8047749968125496,-0.08631479126537202,-0.5369150503017751
12,2024-08-22,-0.3215460716339556,-0.23623232351548543,-0.07972488057959662,-0.05161478660022541,0.6556891248360156
13,2024-08-23,-0.36839395303667277,-0.2360902219494107,-0.12879726890581983,-0.31764815569968224,-1.1287336635280472
14,2024-08-24,-0.37776352931721624,-0.23624095610494608,-0.26883310876357525,-0.3014548201892805,-0.5402776560587426
15,2024-08-25,2.7282510076829336,-0.23633570482515698,-0.720059703860786,-1.1273149312197681,0.26338511985647917
16,2024-08-26,3.6043063899137455,-0.23633570482515698,-0.2843926465255475,-0.7618082154135579,-0.6646940690665384
17,2024-08-27,-0.38713310559775965,0.31227745715907296,-0.5872051891239414,-0.2505614800137321,1.0883443988991615
18,2024-08-28,3.5340345678096696,0.43060578621449513,1.1985509909424756,-0.9838882452704955,1.116366113540557
19,2024-08-29,-0.2325350969687929,5.8844660435871345,-1.80084913455782,0.9639386832663966,-0.4707838037480818
20,2024-08-30,-0.41055704629911827,-0.2360373184292021,-1.1653018613572383,-0.19504147254949758,1.5456587818467353
21,2024-08-31,-0.41055704629911827,-0.2362605663362068,-1.1353796733534445,-0.27832148374584953,0.19052866178885097
22,2024-09-01,3.440338805004235,-0.23633570482515698,-1.2012084869617907,-0.5998748603095405,-1.2677213681493686
23,2024-09-02,2.7563597365245642,-0.23609785950519516,-0.6410651275307706,-1.1157482629980524,-1.5591472004198814
24,2024-09-03,-0.2559590376701515,0.6995338067949999,-0.8541111061177813,0.6377586394140192,-0.5884750052419427
25,2024-09-04,-0.2325350969687929,-0.23633570482515698,0.8526504976186188,0.3138919292059848,1.9323584438979926
26,2024-09-05,-0.1294697578828151,4.52369025944978,1.040561838282445,0.739545319765116,0.11206786079294369
27,2024-09-06,-0.2887525546520536,-0.23633570482515698,-0.23771403323962903,0.2121052488548884,0.3922850072068983
28,2024-09-07,-0.43866577514074856,-0.23633570482515698,-0.4806821998304352,-0.6160681958199422,-0.679265360680064
29,2024-09-08,-0.3918178937380314,-0.23633570482515698,-0.3262837097308582,-0.41943483605077864,-1.1601179839264102
30,2024-09-09,-0.06388272391901101,-0.23633570482515698,-0.09767819338187361,1.2531053888092845,2.4445953875427016
31,2024-09-10,-0.07793708833982617,-0.23486197927237581,0.17401527369257405,1.0865453664165814,-0.15133625683617363
32,2024-09-11,-0.15289369858417368,-0.23594815803325886,0.44929940332747714,0.5845519655941277,-0.04261200402755924
33,2024-09-12,-0.08262187648009789,-0.2328826690409033,0.48759980397233416,1.0102053561532585,1.4526266892373023
34,2024-09-13,-0.11073060532172821,-0.2347436509433204,0.267372500264411,0.8899120066474173,-0.3519717336685651
35,2024-09-14,-0.14820891044390197,-0.2242984866239736,0.29490091322790185,1.0495320281070917,0.8495993901544722
36,2024-09-15,-0.31217649535341213,-0.23292031896378457,-0.4363973615848198,0.297698593695583,-0.4730255409193935
37,2024-09-16,-0.06388272391901101,-0.22821407860362575,0.30806667594957104,1.2484787215205984,0.387801532864275
38,2024-09-17,-0.2700134020909667,-0.23214580626451273,-0.14196303162748905,0.28150525818518124,0.03136532262572477
39,2024-09-18,-0.27469819023123837,-0.23339363228000626,-0.2568642335620567,0.22598525072094713,0.09413396342245059
40,2024-09-19,-0.2606438258104232,-0.23358188189441262,-0.09648130586172124,0.2213585834322606,0.7386334001745462
41,2024-09-20,-0.31686128349368387,-0.23498030760143124,0.007647908391480196,-0.1025081267757734,0.4438449621470659
42,2024-09-21,-0.3402852241950425,-0.23496955048060802,-0.030652492253375116,-0.16959480246172356,0.6994029996765925
43,2024-09-22,-0.41524183443938995,-0.23617612831630494,-0.1467505817080951,-0.5721148565774234,-0.12779801653740144
44,2024-09-23,-0.2512742495298798,-0.23317848986354187,-0.07972488057959662,0.31620526285032785,0.7285455829036438
45,2024-09-24,-0.34497001233531416,-0.23368945310264483,-0.19941363259477202,-0.11870146228617517,0.6949195253339692
46,2024-09-25,-0.5929077398710546,-0.23633570482515698,-2.1228118774786413,-1.1573882685962282,-0.33740044205503944
47,2024-09-26,-0.2325350969687929,-0.2357494417402915,0.9017228859448403,0.18434524512277092,0.8608080760110304
48,2024-09-27,-0.38713310559775965,-0.23633570482515698,0.2996884633085079,-0.46338817529329746,0.3272746292388608
49,2024-09-28,-0.4199266225796617,-0.23633570482515698,0.3870612522795864,-0.6484548668407458,0.8193359383417651
50,2024-09-29,-0.6758706530471266,-0.23624426929815961,-1.3029439261746891,-1.7889283535018952,-1.5154333255793044
51,2024-09-30,-0.23721988510906464,-0.23267828374526212,1.1841883407006542,-0.0007214464246770055,0.29252770308353043
52,2024-10-01,-0.572758466079746,-0.23361415325688228,0.6671329319950973,-1.467374976938204,-0.568299370700138
53,2024-10-02,-0.9067276430234363,-0.23633570482515698,-1.439389103471989,-3.111229864608412,-1.9839563943834366
54,2024-10-03,0.2546828696194659,-0.1451583487275426,1.4247627322511573,2.5416322287083926,2.7920646490960053
55,2024-10-04,-0.19974157998689088,-0.22853141366791074,0.9843081248353127,0.20979191521054535,0.40797716740607975
56,2024-10-05,-0.6514769612007317,-0.23376475294840737,-0.09887508090202597,-1.7981816880792676,-0.7263418412776084
57,2024-10-06,-0.658602523962085,-0.23551278508218065,-0.5429203508783259,-1.7681083507028073,0.23648427380073953
58,2024-10-07,-0.26532861395069496,-0.23029558148291884,0.9101010985859034,0.10106523392641938,1.4638353750938606
